diseaseId	diseaseName	diseaseType	diseaseClass	diseaseSemanticType	NofSNPs	NofPmids
C0000731	Abdomen distended	phenotype	C06	Finding	6	0
C0000737	Abdominal Pain	phenotype	C23	Sign or Symptom	18	6
C0000744	Abetalipoproteinemia	disease	C16;C18	Disease or Syndrome	19	15
C0000768	Congenital Abnormality	group	C16	Congenital Abnormality	73	70
C0000772	Multiple congenital anomalies	group	C16	Congenital Abnormality	350	2227
C0000833	Abscess	phenotype	C23;C01	Disease or Syndrome	1	1
C0000846	Agenesis	disease		Congenital Abnormality	44	30
C0000889	Acanthosis Nigricans	disease	C17	Disease or Syndrome	11	15
C0001080	Achondroplasia	disease	C16;C05	Congenital Abnormality	21	58
C0001125	Acidosis, Lactic	phenotype	C18	Disease or Syndrome	21	8
C0001126	Renal tubular acidosis	phenotype	C16;C18;C13;C12	Disease or Syndrome	3	1
C0001127	Acidosis, Respiratory	phenotype	C18;C08	Disease or Syndrome	1	1
C0001144	Acne Vulgaris	disease	C17	Disease or Syndrome	37	10
C0001175	Acquired Immunodeficiency Syndrome	group	C01;C20	Disease or Syndrome	42	11
C0001193	Apert syndrome	disease	C16;C05	Congenital Abnormality	24	56
C0001206	Acromegaly	disease	C05;C10;C19	Disease or Syndrome	25	23
C0001311	Acute bronchiolitis	disease	C01;C08	Disease or Syndrome	3	2
C0001339	Acute pancreatitis	disease	C06	Disease or Syndrome	51	35
C0001342	Acute periodontitis	disease	C07	Disease or Syndrome	49	35
C0001361	Acute tonsillitis	disease	C01;C08;C07;C09	Disease or Syndrome	1	1
C0001403	Addison Disease	disease	C20;C19	Disease or Syndrome	13	12
C0001416	Adenitis	phenotype	C15	Sign or Symptom	1	1
C0001418	Adenocarcinoma	group	C04	Neoplastic Process	168	205
C0001420	Papillary adenocarcinoma	disease	C04	Neoplastic Process	3	1
C0001430	Adenoma	group	C04	Neoplastic Process	103	91
C0001442	Adenosarcoma	disease	C04	Neoplastic Process	1	1
C0001546	Adjustment Disorders	group	F03	Mental or Behavioral Dysfunction	4	3
C0001618	Tumors of Adrenal Cortex	group	C04;C19	Neoplastic Process	5	7
C0001621	Adrenal Gland Diseases	group	C19	Disease or Syndrome	2	2
C0001623	Adrenal gland hypofunction	phenotype	C19	Disease or Syndrome	10	7
C0001627	Congenital adrenal hyperplasia	disease	C16;C18;C13;C12;C19	Disease or Syndrome	36	24
C0001723	Affective Disorders, Psychotic	group	F03	Mental or Behavioral Dysfunction	10	9
C0001726	Affective Symptoms	phenotype	F01	Sign or Symptom	10	5
C0001768	Agammaglobulinemia	disease	C20;C15	Disease or Syndrome	1	1
C0001807	Aggressive behavior	phenotype	F01	Individual Behavior	22	3
C0001811	Aging	phenotype		Organism Function	4	2
C0001815	Primary Myelofibrosis	disease	C15	Neoplastic Process	29	201
C0001818	Agoraphobia	disease	F03	Mental or Behavioral Dysfunction	11	9
C0001824	Agranulocytosis	disease	C15	Disease or Syndrome	8	7
C0001825	Agraphia	disease	C23;C10	Mental or Behavioral Dysfunction	1	1
C0001849	AIDS Dementia Complex	disease	C01;C20;C10;F03	Disease or Syndrome	4	1
C0001857	AIDS related complex	disease	C01;C20	Disease or Syndrome	43	23
C0001883	Airway Obstruction	group	C08	Disease or Syndrome	5	4
C0001916	Albinism	disease	C16;C18;C11;C17	Disease or Syndrome	27	10
C0001925	Albuminuria	phenotype	C23;C13;C12	Finding	59	3
C0001948	Alcohol consumption	phenotype	F01	Individual Behavior	535	14
C0001956	Alcohol Use Disorder	disease	C25;F03	Mental or Behavioral Dysfunction	54	45
C0001957	Alcohol Withdrawal Delirium	disease	C10;C25;F03	Disease or Syndrome	8	6
C0001969	Alcoholic Intoxication	disease	C25;F03	Mental or Behavioral Dysfunction	4	3
C0001973	Alcoholic Intoxication, Chronic	disease	C25;F03	Mental or Behavioral Dysfunction	441	256
C0002020	Alexithymia	phenotype	F01	Mental or Behavioral Dysfunction	12	7
C0002063	Alkalosis	phenotype	C18	Disease or Syndrome	2	1
C0002066	Alkaptonuria	disease	C16;C18	Disease or Syndrome	68	30
C0002170	Alopecia	disease	C23;C17	Disease or Syndrome	375	37
C0002171	Alopecia Areata	disease	C17	Disease or Syndrome	54	14
C0002312	alpha-Thalassemia	disease	C16;C15	Disease or Syndrome	37	17
C0002390	Extrinsic allergic alveolitis	group	C08;C20	Disease or Syndrome	2	2
C0002395	Alzheimer's Disease	disease	C10;F03	Disease or Syndrome	1843	1307
C0002418	Amblyopia	phenotype	C23;C11;C10	Disease or Syndrome	29	4
C0002438	Amebiasis	disease	C01	Disease or Syndrome	2	2
C0002448	Ameloblastoma	disease	C04	Neoplastic Process	4	14
C0002452	Amelogenesis Imperfecta	disease	C16;C07	Congenital Abnormality	24	12
C0002453	Amenorrhea	phenotype	C23	Finding	2	0
C0002622	Amnesia	disease	C23;C10;F03;F01	Mental or Behavioral Dysfunction	12	9
C0002726	Amyloidosis	disease	C18	Disease or Syndrome	93	182
C0002736	Amyotrophic Lateral Sclerosis	disease	C18;C10	Disease or Syndrome	485	816
C0002792	anaphylaxis	phenotype	C20	Disease or Syndrome	4	2
C0002793	Anaplasia	disease	C23;C04	Neoplastic Process	7	8
C0002871	Anemia	disease	C15	Disease or Syndrome	94	88
C0002873	Anemia of chronic disease	phenotype	C15	Disease or Syndrome	1	1
C0002874	Aplastic Anemia	disease	C15	Disease or Syndrome	30	15
C0002875	Cooley's anemia	disease	C16;C15	Disease or Syndrome	19	13
C0002876	Congenital dyserythropoietic anemia	disease	C16;C15	Disease or Syndrome	13	10
C0002878	Anemia, Hemolytic	disease	C15	Disease or Syndrome	31	17
C0002879	Anemia, Hemolytic, Acquired	disease	C15	Disease or Syndrome	1	0
C0002881	Anemia, Hemolytic, Congenital	disease	C16;C15	Disease or Syndrome	8	2
C0002886	Anemia, Macrocytic	disease	C15	Disease or Syndrome	2	1
C0002888	Anemia, Megaloblastic	disease	C15	Disease or Syndrome	2	1
C0002890	Leukoerythroblastic Anemia	disease	C15	Disease or Syndrome	1	1
C0002892	Anemia, Pernicious	disease	C18;C15	Disease or Syndrome	4	3
C0002893	Refractory anemias	disease	C15	Disease or Syndrome	11	10
C0002894	Refractory anaemia with excess blasts	disease	C15	Neoplastic Process	2	1
C0002895	Anemia, Sickle Cell	disease	C16;C15	Disease or Syndrome	138	76
C0002896	Sideroblastic anemia	disease	C15	Disease or Syndrome	11	7
C0002902	Anencephaly	disease	C16;C10	Congenital Abnormality	10	11
C0002940	Aneurysm	disease	C14	Pathologic Function	36	0
C0002949	Aneurysm, Dissecting	disease	C14	Disease or Syndrome	4	4
C0002957	Anger	phenotype	F01	Mental Process	4	1
C0002962	Angina Pectoris	phenotype	C23;C14	Sign or Symptom	65	11
C0002963	Angina Pectoris, Variant	disease	C23;C14	Disease or Syndrome	4	3
C0002965	Angina, Unstable	disease	C23;C14	Disease or Syndrome	21	14
C0002982	Angioid Streaks	disease	C11	Disease or Syndrome	90	2
C0002986	Fabry Disease	disease	C16;C18;C10;C14	Disease or Syndrome	206	238
C0002991	Cutaneous Fibrous Histiocytoma	disease	C04	Neoplastic Process	1	1
C0002992	Angiomatosis	disease	C14	Disease or Syndrome	1	1
C0002994	Angioedema	phenotype	C17;C20;C14	Pathologic Function	8	1
C0003028	Anhidrosis	disease	C17	Disease or Syndrome	2	2
C0003076	Aniridia	disease	C16;C11	Congenital Abnormality	29	24
C0003079	Anisocoria	phenotype	C23;C11;C10	Finding	5	0
C0003081	Anisometropia	disease	C11	Disease or Syndrome	1	0
C0003119	Anophthalmos	disease	C16;C11	Congenital Abnormality	6	4
C0003123	Anorexia	disease	C23	Disease or Syndrome	10	6
C0003125	Anorexia Nervosa	disease	F03	Mental or Behavioral Dysfunction	72	46
C0003126	Anosmia	phenotype	C23;C10	Finding	4	2
C0003128	Anovulation	phenotype	C13;C19	Disease or Syndrome	8	2
C0003164	Anthracosilicosis	disease	C08;C24	Disease or Syndrome	4	1
C0003165	Anthracosis	disease	C08	Disease or Syndrome	37	15
C0003175	Anthrax disease	disease	C01	Disease or Syndrome	3	4
C0003431	Antisocial Personality Disorder	disease	F03	Mental or Behavioral Dysfunction	6	6
C0003466	Anus, Imperforate	disease	C16;C06	Congenital Abnormality	9	4
C0003467	Anxiety	disease	F01	Mental or Behavioral Dysfunction	287	149
C0003469	Anxiety Disorders	group	F03	Mental or Behavioral Dysfunction	163	179
C0003477	Separation Anxiety Disorder	disease	F03	Mental or Behavioral Dysfunction	2	2
C0003486	Aortic Aneurysm	disease	C14	Disease or Syndrome	19	12
C0003492	Aortic coarctation	disease	C16;C14	Congenital Abnormality	6	3
C0003493	Aortic Diseases	group	C14	Disease or Syndrome	2	3
C0003499	Supravalvular aortic stenosis	disease	C14	Disease or Syndrome	38	6
C0003504	Aortic Valve Insufficiency	disease	C14	Disease or Syndrome	8	5
C0003507	Aortic Valve Stenosis	disease	C14	Disease or Syndrome	19	17
C0003534	Aphakia	disease	C11	Anatomical Abnormality	3	2
C0003537	Aphasia	disease	C23;C10	Mental or Behavioral Dysfunction	3	1
C0003578	Apnea	phenotype	C23;C08	Sign or Symptom	11	5
C0003615	Appendicitis	disease	C06;C01	Disease or Syndrome	10	5
C0003635	Apraxias	group	C23;C10;F01	Mental or Behavioral Dysfunction	9	3
C0003706	Arachnodactyly	disease	C16;C05	Congenital Abnormality	25	1
C0003742	Arcus Senilis	disease	C11	Disease or Syndrome	23	0
C0003803	Arnold Chiari Malformation	disease	C16;C10	Congenital Abnormality	4	0
C0003811	Cardiac Arrhythmia	phenotype	C23;C14	Disease or Syndrome	111	89
C0003838	Arterial Occlusive Diseases	group	C14	Disease or Syndrome	4	4
C0003850	Arteriosclerosis	disease	C14	Disease or Syndrome	267	279
C0003851	Arteriosclerosis Obliterans	disease	C14	Disease or Syndrome	2	2
C0003855	Arteriovenous fistula	phenotype	C23;C16;C14	Anatomical Abnormality	8	4
C0003857	Congenital arteriovenous malformation	disease	C16;C14	Congenital Abnormality	23	14
C0003862	Arthralgia	phenotype	C23;C05	Sign or Symptom	27	19
C0003864	Arthritis	disease	C05	Disease or Syndrome	69	68
C0003868	Arthritis, Gouty	disease	C16;C18;C05	Disease or Syndrome	2356	29
C0003872	Arthritis, Psoriatic	disease	C17;C05	Disease or Syndrome	89	42
C0003873	Rheumatoid Arthritis	disease	C17;C05;C20	Disease or Syndrome	2387	765
C0003886	Arthrogryposis	disease	C16;C05	Disease or Syndrome	33	9
C0003892	Neurogenic arthropathy	disease	C05	Disease or Syndrome	2	1
C0003949	Asbestosis	disease	C08;C24	Disease or Syndrome	2	1
C0003962	Ascites	phenotype	C23	Disease or Syndrome	7	3
C0004030	Aspergillosis	disease	C01	Disease or Syndrome	2	2
C0004031	Aspergillosis, Allergic Bronchopulmonary	disease	C01;C08;C20	Disease or Syndrome	6	3
C0004045	Asphyxia Neonatorum	disease	C16	Disease or Syndrome	5	5
C0004059	aspirin intolerance	phenotype		Sign or Symptom	4	4
C0004093	Asthenia	phenotype	C23	Sign or Symptom	3	3
C0004096	Asthma	disease	C08;C20	Disease or Syndrome	1536	672
C0004099	Asthma, Exercise-Induced	disease	C08;C20	Disease or Syndrome	3	1
C0004106	Astigmatism	disease	C11	Disease or Syndrome	45	10
C0004114	Astrocytoma	disease	C04	Neoplastic Process	59	52
C0004134	Ataxia	phenotype	C23;C10	Sign or Symptom	68	50
C0004135	Ataxia Telangiectasia	disease	C16;C18;C20;C10;C14	Disease or Syndrome	698	273
C0004138	Ataxias, Hereditary	disease	C16;C10	Disease or Syndrome	3	3
C0004144	Atelectasis	phenotype	C08	Pathologic Function	2	0
C0004153	Atherosclerosis	disease	C14	Disease or Syndrome	281	282
C0004158	Athetosis	phenotype	C23;C10	Disease or Syndrome	3	2
C0004238	Atrial Fibrillation	disease	C23;C14	Disease or Syndrome	584	232
C0004239	Atrial Flutter	phenotype	C23;C14	Pathologic Function	2	0
C0004245	Atrioventricular Block	disease	C23;C14	Disease or Syndrome	17	16
C0004277	Tooth Attrition	disease	C07	Acquired Abnormality	5	5
C0004352	Autistic Disorder	disease	F03	Mental or Behavioral Dysfunction	395	187
C0004364	Autoimmune Diseases	group	C20	Disease or Syndrome	428	292
C0004509	Azoospermia	disease	C12	Disease or Syndrome	70	44
C0004565	Melanoma, B16	disease	C04	Neoplastic Process; Experimental Model of Disease	1	1
C0004604	Back Pain	phenotype	C23	Sign or Symptom	10	4
C0004606	Nonproliferative diabetic retinopathy	disease	C11;C19;C14	Disease or Syndrome	1	1
C0004610	Bacteremia	disease	C23;C01	Disease or Syndrome	7	6
C0004623	Bacterial Infections	group	C01	Disease or Syndrome	17	15
C0004626	Pneumonia, Bacterial	group	C01;C08	Disease or Syndrome	2	1
C0004698	Balkan Nephropathy	disease	C13;C12	Disease or Syndrome	4	3
C0004763	Barrett Esophagus	disease	C06;C04	Disease or Syndrome	60	24
C0004775	Bartter Disease	disease	C13;C12;C19	Disease or Syndrome	8	14
C0004779	Basal Cell Nevus Syndrome	disease	C16;C04;C05;C07	Neoplastic Process	124	31
C0004903	Beckwith-Wiedemann Syndrome	disease	C16	Disease or Syndrome	84	18
C0004930	Behavior Disorders	group	F03	Mental or Behavioral Dysfunction	4	4
C0004936	Mental disorders	group	F03	Mental or Behavioral Dysfunction	149	125
C0004941	Behavioral Symptoms	group	F01	Sign or Symptom	9	7
C0004943	Behcet Syndrome	disease	C16;C11;C17;C07;C14	Disease or Syndrome	243	161
C0005129	Bernard-Soulier Syndrome	disease	C16;C15	Disease or Syndrome	23	32
C0005283	beta Thalassemia	disease	C16;C15	Disease or Syndrome	103	367
C0005411	Biliary Atresia	disease	C16;C06	Congenital Abnormality	32	16
C0005426	Biliary Tract Neoplasm	disease	C06;C04	Neoplastic Process	3	0
C0005586	Bipolar Disorder	disease	F03	Mental or Behavioral Dysfunction	839	409
C0005587	Depression, Bipolar	disease	F03	Mental or Behavioral Dysfunction	2	3
C0005612	Birth Weight	phenotype	C23	Organism Attribute	369	10
C0005684	Malignant neoplasm of urinary bladder	disease	C04;C13;C12	Neoplastic Process	316	287
C0005689	Bladder Exstrophy	disease	C16;C13;C12	Disease or Syndrome	7	1
C0005695	Bladder Neoplasm	disease	C04;C13;C12	Neoplastic Process	281	266
C0005697	Neurogenic Urinary Bladder	disease	C23;C13;C12;C10	Disease or Syndrome	9	1
C0005699	Blast Phase	disease	C23;C04;C15	Neoplastic Process	14	13
C0005741	Blepharitis	disease	C11	Disease or Syndrome	3	1
C0005744	Blepharophimosis	disease	C16;C11	Congenital Abnormality	15	2
C0005745	Blepharoptosis	disease	C11	Disease or Syndrome	57	17
C0005747	Blepharospasm	disease	C11	Disease or Syndrome	6	7
C0005750	Blind Loop Syndrome	disease	C06;C18	Disease or Syndrome	3	2
C0005754	Congenital blindness	disease	C23;C16;C13;C11;C10	Congenital Abnormality	3	1
C0005779	Blood Coagulation Disorders	group	C15	Disease or Syndrome	31	24
C0005818	Blood Platelet Disorders	group	C15	Disease or Syndrome	5	14
C0005823	Blood Pressure	phenotype		Organism Function	220	16
